                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,                  0.091,                  0.001,                  0.001
                      1,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.081058,              0.0020584,              0.0020584
                      2,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.071073,              0.0030733,              0.0030733
                      3,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.061045,              0.0040446,              0.0040446
                      4,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.050972,              0.0049723,              0.0049723
                      5,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.040857,              0.0058565,              0.0058565
                      6,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.030697,              0.0066971,              0.0066971
                      7,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.020494,              0.0074942,              0.0074942
                      8,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.010248,              0.0082477,              0.0082477
                      9,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.008218,               0.008218,               0.008218
                     10,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.008218,               0.008218,               0.008218
                     11,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,                0.00802,                0.00802,                0.00802
                     12,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.007822,               0.007822,               0.007822
                     13,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.007624,               0.007624,               0.007624
                     14,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.007426,               0.007426,               0.007426
                     15,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.007228,               0.007228,               0.007228
                     16,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,                0.00703,                0.00703,                0.00703
